"species","family","genus","garden","pres"
"Gentiana angustifolia","Gentianaceae","Gentiana","ne",1
"Gentiana angustifolia","Gentianaceae","Gentiana","ne",1
"Rhipsalis baccifera","Cactaceae","Rhipsalis","ne",1
"Gladiolus italicus","Iridaceae","Gladiolus","ne",1
"Gladiolus italicus","Iridaceae","Gladiolus","ne",1
"Santolina elegans","Asteraceae","Santolina","ne",1
"Gentiana dinarica","Gentianaceae","Gentiana","ne",1
"Cerastium arvense","Caryophyllaceae","Cerastium","ne",1
"Lavandula lanata","Lamiaceae","Lavandula","ne",1
"Berteroa mutabilis","Brassicaceae","Berteroa","ne",1
"Wulfenia carinthiaca","Plantaginaceae","Wulfenia","ne",1
"Dryas octopetala","Rosaceae","Dryas","ne",1
"Solidago virgaurea","Asteraceae","Solidago","ne",1
"Larix decidua","Pinaceae","Larix","ne",1
"Cerastium grandiflorum","Caryophyllaceae","Cerastium","ne",1
"Cerastium grandiflorum","Caryophyllaceae","Cerastium","ne",1
"Edraianthus graminifolius","Campanulaceae","Edraianthus","ne",1
"Geranium endressii","Geraniaceae","Geranium","ne",1
"Callistemon rigidus","Myrtaceae","Callistemon","ne",1
"Callistemon viminalis","Myrtaceae","Callistemon","ne",1
"Rosa pendulina","Rosaceae","Rosa","ne",1
"Hypericum androsaemum","Hypericaceae","Hypericum","ne",1
"Iris pallida","Iridaceae","Iris","ne",1
"Globularia meridionalis","Plantaginaceae","Globularia","ne",1
"Dianthus seguieri","Caryophyllaceae","Dianthus","ne",1
"Satureja montana","Lamiaceae","Satureja","ne",1
"Limonium platyphyllum","Plumbaginaceae","Limonium","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Euphorbia verrucosa","Euphorbiaceae","Euphorbia","ne",1
"Acanthus mollis","Acanthaceae","Acanthus","ne",1
"Achillea ageratum","Asteraceae","Achillea","ne",1
"Phlomis fruticosa","Lamiaceae","Phlomis","ne",1
"Phlomis fruticosa","Lamiaceae","Phlomis","ne",1
"Salvia verbenaca","Lamiaceae","Salvia","ne",1
"Salvia verbenaca","Lamiaceae","Salvia","ne",1
"Stachys cretica","Lamiaceae","Stachys","ne",1
"Alyssum alpestre","Brassicaceae","Alyssum","ne",1
"Helleborus niger","Ranunculaceae","Helleborus","ne",1
"Allium flavum","Amaryllidaceae","Allium","ne",1
"Hyssopus officinalis","Lamiaceae","Hyssopus","ne",1
"Iris pumila","Iridaceae","Iris","ne",1
"Pulsatilla rubra","Ranunculaceae","Pulsatilla","ne",1
"Prunus brigantina","Rosaceae","Prunus","ne",1
"Fibigia clypeata","Brassicaceae","Fibigia","ne",1
"Fibigia clypeata","Brassicaceae","Fibigia","ne",1
"Fibigia clypeata","Brassicaceae","Fibigia","ne",1
"Fibigia clypeata","Brassicaceae","Fibigia","ne",1
"Scabiosa ochroleuca","Caprifoliaceae","Scabiosa","ne",1
"Scabiosa ochroleuca","Caprifoliaceae","Scabiosa","ne",1
"Sideritis italica","Lamiaceae","Sideritis","ne",1
"Sideritis italica","Lamiaceae","Sideritis","ne",1
"Sideritis italica","Lamiaceae","Sideritis","ne",1
"Sideritis italica","Lamiaceae","Sideritis","ne",1
"Digitalis ferruginea","Plantaginaceae","Digitalis","ne",1
"Digitalis ferruginea","Plantaginaceae","Digitalis","ne",1
"Rhus aromatica","Anacardiaceae","Rhus","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Sorbus NA","Rosaceae","Sorbus","ne",1
"Helichrysum italicum","Asteraceae","Helichrysum","ne",1
"Helichrysum italicum","Asteraceae","Helichrysum","ne",1
"Helichrysum italicum","Asteraceae","Helichrysum","ne",1
"Helichrysum italicum","Asteraceae","Helichrysum","ne",1
"Cerastium tomentosum","Caryophyllaceae","Cerastium","ne",1
"Adiantum venustum","Pteridaceae","Adiantum","ne",1
"Juniperus sabina","Cupressaceae","Juniperus","ne",1
"Polystichum braunii","Dryopteridaceae","Polystichum","ne",1
"Polystichum rigens","Dryopteridaceae","Polystichum","ne",1
"Polystichum setiferum","Dryopteridaceae","Polystichum","ne",1
"Rhamnus pumila","Rhamnaceae","Rhamnus","ne",1
"Rosmarinus officinalis","Lamiaceae","Rosmarinus","ne",1
"Cerinthe minor","Boraginaceae","Cerinthe","ne",1
"Cerinthe minor","Boraginaceae","Cerinthe","ne",1
"Stipa gigantea","Poaceae","Stipa","ne",1
"Rhamnus alpina","Rhamnaceae","Rhamnus","ne",1
"Sisyrinchium striatum","Iridaceae","Sisyrinchium","ne",1
"Sisyrinchium striatum","Iridaceae","Sisyrinchium","ne",1
"Asplenium trichomanes","Aspleniaceae","Asplenium","ne",1
"Polygala chamaebuxus","Polygalaceae","Polygala","ne",1
"Laburnum anagyroides","Fabaceae","Laburnum","ne",1
"Tanacetum parthenicum","Asteraceae","Tanacetum","ne",1
"Zanthoxylum bungeanum","Rutaceae","Zanthoxylum","ne",1
"Exochorda racemosa","Rosaceae","Exochorda","ne",1
"Quercus suber","Fagaceae","Quercus","ne",1
"Decaisnea insignis","Lardizabalaceae","Decaisnea","ne",1
"Poliothyrsis sinensis","Salicaceae","Poliothyrsis","ne",1
"Cytisus nigricans","Fabaceae","Cytisus","ne",1
"Episcia dianthiflora","Gesneriaceae","Episcia","ne",1
"Helianthemum apenninum","Cistaceae","Helianthemum","ne",1
"Helianthemum apenninum","Cistaceae","Helianthemum","ne",1
"Hedera helix","Araliaceae","Hedera","ne",1
"Clematis vitalba","Ranunculaceae","Clematis","ne",1
"Pteridium aquilinum","Dennstaedtiaceae","Pteridium","ne",1
"Polygonatum multiflorum","Asparagaceae","Polygonatum","ne",1
"Convallaria majalis","Asparagaceae","Convallaria","ne",1
"Corylus avellana","Betulaceae","Corylus","ne",1
"Crataegus laevigata","Rosaceae","Crataegus","ne",1
"Hieracium pilosella","Asteraceae","Hieracium","ne",1
"Chelidonium majus","Papaveraceae","Chelidonium","ne",1
"Geum urbanum","Rosaceae","Geum","ne",1
"Taxus baccata","Taxaceae","Taxus","ne",1
"Allium ursinum","Amaryllidaceae","Allium","ne",1
"Dorycnium pentaphyllum","Fabaceae","Dorycnium","ne",1
"Lepismium houlletianum","Cactaceae","Lepismium","ne",1
"Adiantum capillus-veneris","Pteridaceae","Adiantum","ne",1
"Arabis alpina","Brassicaceae","Arabis","ne",1
"Veronica fruticulosa","Plantaginaceae","Veronica","ne",1
"Hypericum coris","Hypericaceae","Hypericum","ne",1
"Saxifraga paniculata","Saxifragaceae","Saxifraga","ne",1
"Carex bohemica","Cyperaceae","Carex","ne",1
"Carex bohemica","Cyperaceae","Carex","ne",1
"Silene petrarchae","Caryophyllaceae","Silene","ne",1
"Hieracium pictum","Asteraceae","Hieracium","ne",1
"Hieracium pictum","Asteraceae","Hieracium","ne",1
"Anthericum liliago","Asparagaceae","Anthericum","ne",1
"Armeria alpina","Plumbaginaceae","Armeria","ne",1
"Paradisea liliastrum","Asparagaceae","Paradisea","ne",1
"Sedum album","Crassulaceae","Sedum","ne",1
"Sedum album","Crassulaceae","Sedum","ne",1
"Sedum album","Crassulaceae","Sedum","ne",1
"Muscari comosum","Asparagaceae","Muscari","ne",1
"Muscari comosum","Asparagaceae","Muscari","ne",1
"NA rupestre",NA,NA,"ne",1
"Origanum vulgare","Lamiaceae","Origanum","ne",1
"Origanum vulgare","Lamiaceae","Origanum","ne",1
"Potentilla reptans","Rosaceae","Potentilla","ne",1
"Potentilla reptans","Rosaceae","Potentilla","ne",1
"Saxifraga cotyledon","Saxifragaceae","Saxifraga","ne",1
"Helictotrichon sempervirens","Poaceae","Helictotrichon","ne",1
"Silene vallesia","Caryophyllaceae","Silene","ne",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","ne",1
"Anthyllis vulneraria","Fabaceae","Anthyllis","ne",1
"Carex leersii","Cyperaceae","Carex","ne",1
"Asplenium trichomanes","Aspleniaceae","Asplenium","ne",1
"Asplenium trichomanes","Aspleniaceae","Asplenium","ne",1
"Centaurea jacea","Asteraceae","Centaurea","ne",1
"Linum tenuifolium","Linaceae","Linum","ne",1
"Linum tenuifolium","Linaceae","Linum","ne",1
"Astragalus angustifolius","Fabaceae","Astragalus","ne",1
"Allium vineale","Amaryllidaceae","Allium","ne",1
"Vitis vinifera","Vitaceae","Vitis","ne",1
"Carex flacca","Cyperaceae","Carex","ne",1
"Papaver rhoeas","Papaveraceae","Papaver","ne",1
"Euphorbia verrucosa","Euphorbiaceae","Euphorbia","ne",1
"Sambucus ebulus","Viburnaceae","Sambucus","ne",1
"Rosa spinosissima","Rosaceae","Rosa","ne",1
"Sesleria caerulea","Poaceae","Sesleria","ne",1
"Sanguisorba minor","Rosaceae","Sanguisorba","ne",1
"Sedum sexangulare","Crassulaceae","Sedum","ne",1
"Sedum sexangulare","Crassulaceae","Sedum","ne",1
"Asplenium ruta-muraria","Aspleniaceae","Asplenium","ne",1
"Asplenium ruta-muraria","Aspleniaceae","Asplenium","ne",1
"Daphne pontica","Thymelaeaceae","Daphne","ne",1
"Thymus pulegioides","Lamiaceae","Thymus","ne",1
"Thymus pulegioides","Lamiaceae","Thymus","ne",1
"Brachypodium sylvaticum","Poaceae","Brachypodium","ne",1
"Brachypodium sylvaticum","Poaceae","Brachypodium","ne",1
"Campanula rapunculoides","Campanulaceae","Campanula","ne",1
"Melica ciliata","Poaceae","Melica","ne",1
"Melica ciliata","Poaceae","Melica","ne",1
"Lathyrus vernus","Fabaceae","Lathyrus","ne",1
"Nelumbo nucifera","Nelumbonaceae","Nelumbo","ne",1
"Nelumbo nucifera","Nelumbonaceae","Nelumbo","ne",1
"Phyllostachys nigra","Poaceae","Phyllostachys","ne",1
"Sasa elegantissima","Poaceae","Sasa","ne",1
"Semiarundinaria fastuosa","Poaceae","Semiarundinaria","ne",1
"Calycanthus floridus","Calycanthaceae","Calycanthus","ne",1
"Cephalotaxus harringtonia","Cephalotaxaceae","Cephalotaxus","ne",1
"Decaisnea insignis","Lardizabalaceae","Decaisnea","ne",1
"Mahonia bealei","Berberidaceae","Mahonia","ne",1
"Nandina domestica","Berberidaceae","Nandina","ne",1
"Salix helvetica","Salicaceae","Salix","ne",1
"Schisandra chinensis","Schisandraceae","Schisandra","ne",1
"Actaea rubra","Ranunculaceae","Actaea","ne",1
"Alyssum montanum","Brassicaceae","Alyssum","ne",1
"Asarum europaeum","Aristolochiaceae","Asarum","ne",1
"Pulsatilla vulgaris","Ranunculaceae","Pulsatilla","ne",1
"Romneya coulteri","Papaveraceae","Romneya","ne",1
"Sisyrinchium angustifolium","Iridaceae","Sisyrinchium","ne",1
"Equisetum hyemale","Equisetaceae","Equisetum","ne",1
"Potentilla recta","Rosaceae","Potentilla","ne",1
"Potentilla recta","Rosaceae","Potentilla","ne",1
"Delphinium consolida","Ranunculaceae","Delphinium","ne",1
"Saururus cernuus","Saururaceae","Saururus","ne",1
"Betula nana","Betulaceae","Betula","ne",1
"Ilex crenata","Aquifoliaceae","Ilex","ne",1
"Ptelea trifoliata","Rutaceae","Ptelea","ne",1
"Grevillea juniperina","Proteaceae","Grevillea","ne",1
"Dicksonia antarctica","Dicksoniaceae","Dicksonia","ne",1
"Nepeta grandiflora","Lamiaceae","Nepeta","ne",1
"Nepeta grandiflora","Lamiaceae","Nepeta","ne",1
"Muscari neglectum","Asparagaceae","Muscari","ne",1
"Muscari neglectum","Asparagaceae","Muscari","ne",1
"Potentilla neumanniana","Rosaceae","Potentilla","ne",1
"Hedera helix","Araliaceae","Hedera","ne",1
"Magnolia stellata","Magnoliaceae","Magnolia","ne",1
"Galanthus nivalis","Amaryllidaceae","Galanthus","ne",1
"NA rupestre",NA,NA,"ne",1
"NA rupestre",NA,NA,"ne",1
"Ranunculus bulbosus","Ranunculaceae","Ranunculus","ne",1
"Thymus pulegioides","Lamiaceae","Thymus","ne",1
"Thymus pulegioides","Lamiaceae","Thymus","ne",1
"Bromus erectus","Poaceae","Bromus","ne",1
"Onopordum acanthium","Asteraceae","Onopordum","ne",1
"Satureja montana","Lamiaceae","Satureja","ne",1
"Sideritis hyssopifolia","Lamiaceae","Sideritis","ne",1
"Medicago sativa","Fabaceae","Medicago","ne",1
"Festuca acuminata","Poaceae","Festuca","ne",1
"Festuca acuminata","Poaceae","Festuca","ne",1
"Festuca acuminata","Poaceae","Festuca","ne",1
"Festuca rubra","Poaceae","Festuca","ne",1
"Festuca brevipila","Poaceae","Festuca","ne",1
"Festuca brevipila","Poaceae","Festuca","ne",1
"Festuca rubra","Poaceae","Festuca","ne",1
"Festuca rubra","Poaceae","Festuca","ne",1
"Festuca filiformis","Poaceae","Festuca","ne",1
"Festuca filiformis","Poaceae","Festuca","ne",1
"Festuca brevipila","Poaceae","Festuca","ne",1
"Festuca valesiaca","Poaceae","Festuca","ne",1
"Festuca valesiaca","Poaceae","Festuca","ne",1
"Festuca brevipila","Poaceae","Festuca","ne",1
"Festuca altissima","Poaceae","Festuca","ne",1
"Festuca ovina","Poaceae","Festuca","ne",1
"Festuca ovina","Poaceae","Festuca","ne",1
"Festuca laevigata","Poaceae","Festuca","ne",1
"Festuca arundinacea","Poaceae","Festuca","ne",1
"Festuca ovina","Poaceae","Festuca","ne",1
"Festuca laevigata","Poaceae","Festuca","ne",1
"Festuca laevigata","Poaceae","Festuca","ne",1
"Festuca heterophylla","Poaceae","Festuca","ne",1
"Festuca heterophylla","Poaceae","Festuca","ne",1
"Festuca arundinacea","Poaceae","Festuca","ne",1
"Festuca arundinacea","Poaceae","Festuca","ne",1
"Festuca pratensis","Poaceae","Festuca","ne",1
"Festuca pratensis","Poaceae","Festuca","ne",1
"Festuca laevigata","Poaceae","Festuca","ne",1
"Festuca amethystina","Poaceae","Festuca","ne",1
"Festuca amethystina","Poaceae","Festuca","ne",1
"Festuca amethystina","Poaceae","Festuca","ne",1
"Festuca gigantea","Poaceae","Festuca","ne",1
"Festuca violacea","Poaceae","Festuca","ne",1
"Festuca violacea","Poaceae","Festuca","ne",1
"Festuca rubra","Poaceae","Festuca","ne",1
"Festuca rubra","Poaceae","Festuca","ne",1
"Festuca ovina","Poaceae","Festuca","ne",1
"Festuca ovina","Poaceae","Festuca","ne",1
"Festuca nigrescens","Poaceae","Festuca","ne",1
"Festuca nigrescens","Poaceae","Festuca","ne",1
"Patzkea paniculata","Poaceae","Patzkea","ne",1
"Patzkea paniculata","Poaceae","Patzkea","ne",1
"Seseli libanotis","Apiaceae","Seseli","ne",1
"Paederota lutea","Plantaginaceae","Paederota","ne",1
"Draba aizoides","Brassicaceae","Draba","ne",1
"Inula spiraeifolia","Asteraceae","Inula","ne",1
"Telephium imperati","Molluginaceae","Telephium","ne",1
"Festuca valesiaca","Poaceae","Festuca","ne",1
"Anthyllis montana","Fabaceae","Anthyllis","ne",1
"Artemisia absinthium","Asteraceae","Artemisia","ne",1
"Artemisia absinthium","Asteraceae","Artemisia","ne",1
"Laserpitium siler","Apiaceae","Laserpitium","ne",1
"Koeleria vallesiana","Poaceae","Koeleria","ne",1
"Festuca guestfalica","Poaceae","Festuca","ne",1
"Cytisus decumbens","Fabaceae","Cytisus","ne",1
"Saxifraga hostii","Saxifragaceae","Saxifraga","ne",1
"Trifolium fragiferum","Fabaceae","Trifolium","ne",1
"Iris sibirica","Iridaceae","Iris","ne",1
"Rumex hydrolapathum","Polygonaceae","Rumex","ne",1
"NA nana",NA,NA,"ne",1
"Erigeron atticus","Asteraceae","Erigeron","ne",1
"Astragalus monspessulanus","Fabaceae","Astragalus","ne",1
"Rosa majalis","Rosaceae","Rosa","ne",1
"Linum flavum","Linaceae","Linum","ne",1
"Linum flavum","Linaceae","Linum","ne",1
"Arnebia pulchra","Boraginaceae","Arnebia","ne",1
"Dianthus knappii","Caryophyllaceae","Dianthus","ne",1
"Dianthus knappii","Caryophyllaceae","Dianthus","ne",1
"Potentilla detommasi","Rosaceae","Potentilla","ne",1
"Cerastium biebersteinii","Caryophyllaceae","Cerastium","ne",1
"Centaurea delucae","Asteraceae","Centaurea","ne",1
"Rosa majalis","Rosaceae","Rosa","ne",1
"Tanacetum niveum","Asteraceae","Tanacetum","ne",1
"Tanacetum niveum","Asteraceae","Tanacetum","ne",1
"Minuartia laricifolia","Caryophyllaceae","Minuartia","ne",1
"Knautia macedonica","Caprifoliaceae","Knautia","ne",1
"Genista lydia","Fabaceae","Genista","ne",1
"Pinus heldreichii","Pinaceae","Pinus","ne",1
"Pinus peuce","Pinaceae","Pinus","ne",1
"Athamanta turbith","Apiaceae","Athamanta","ne",1
"Salvia virgata","Lamiaceae","Salvia","ne",1
"Salix arbuscula","Salicaceae","Salix","ne",1
"Frangula alnus","Rhamnaceae","Frangula","ne",1
"Frangula alnus","Rhamnaceae","Frangula","ne",1
"Solidago virgaurea","Asteraceae","Solidago","ne",1
"Lamium album","Lamiaceae","Lamium","ne",1
"Amelanchier rotundifolia","Rosaceae","Amelanchier","ne",1
"Berberis vulgaris","Berberidaceae","Berberis","ne",1
"Hippophae rhamnoides","Elaeagnaceae","Hippophae","ne",1
"Prunus spinosa","Rosaceae","Prunus","ne",1
"Viburnum lantana","Viburnaceae","Viburnum","ne",1
"Viburnum opulus","Viburnaceae","Viburnum","ne",1
"Rosa uriensis","Rosaceae","Rosa","ne",1
"Sanguisorba officinalis","Rosaceae","Sanguisorba","ne",1
"Pulsatilla vulgaris","Ranunculaceae","Pulsatilla","ne",1
"Lythrum salicaria","Lythraceae","Lythrum","ne",1
"Eupatorium cannabinum","Asteraceae","Eupatorium","ne",1
"Hyssopus officinalis","Lamiaceae","Hyssopus","ne",1
"Centaurea simplicicaulis","Asteraceae","Centaurea","ne",1
"Pulmonaria officinalis","Boraginaceae","Pulmonaria","ne",1
"Aurinia petraea","Brassicaceae","Aurinia","ne",1
"Althaea officinalis","Malvaceae","Althaea","ne",1
"Viola tricolor","Violaceae","Viola","ne",1
"Sorbus aucuparia","Rosaceae","Sorbus","ne",1
"Phuopsis stylosa","Rubiaceae","Phuopsis","ne",1
"Picea orientalis","Pinaceae","Picea","ne",1
"Potentilla anserina","Rosaceae","Potentilla","ne",1
"Veronica officinalis","Plantaginaceae","Veronica","ne",1
"Sedum sempervivoides","Crassulaceae","Sedum","ne",1
"Campanula sarmatica","Campanulaceae","Campanula","ne",1
"Sempervivum transcaucasicum","Crassulaceae","Sempervivum","ne",1
"Erigeron caucasicus","Asteraceae","Erigeron","ne",1
"Rosa montana","Rosaceae","Rosa","ne",1
"Rosa villosa","Rosaceae","Rosa","ne",1
"Cerastium biebersteinii","Caryophyllaceae","Cerastium","ne",1
"Sempervivum caucasicum","Crassulaceae","Sempervivum","ne",1
"Saxifraga juniperifolia","Saxifragaceae","Saxifraga","ne",1
"Dianthus arenarius","Caryophyllaceae","Dianthus","ne",1
"Dianthus freynii","Caryophyllaceae","Dianthus","ne",1
"Campanula jacquinii","Campanulaceae","Campanula","ne",1
"Geranium albanum","Geraniaceae","Geranium","ne",1
"Geranium albanum","Geraniaceae","Geranium","ne",1
"Sedum maximum","Crassulaceae","Sedum","ne",1
"Psephellus bellus","Asteraceae","Psephellus","ne",1
"Artemisia vallesiaca","Asteraceae","Artemisia","ne",1
"Juncus arcticus","Juncaceae","Juncus","ne",1
"Scilla litardierei","Asparagaceae","Scilla","ne",1
"Alchemilla caucasica","Rosaceae","Alchemilla","ne",1
"Brunnera macrophylla","Boraginaceae","Brunnera","ne",1
"Rosa canina","Rosaceae","Rosa","ne",1
"Dianthus sylvestris","Caryophyllaceae","Dianthus","ne",1
"Dianthus sylvestris","Caryophyllaceae","Dianthus","ne",1
"Dianthus sylvestris","Caryophyllaceae","Dianthus","ne",1
"Dianthus sylvestris","Caryophyllaceae","Dianthus","ne",1
"Helianthemum nummularium","Cistaceae","Helianthemum","ne",1
"Helianthemum nummularium","Cistaceae","Helianthemum","ne",1
"Argania spinosa","Sapotaceae","Argania","ne",1
"Tetraclinis articulata","Cupressaceae","Tetraclinis","ne",1
"Tetraclinis articulata","Cupressaceae","Tetraclinis","ne",1
"Juniperus NA","Cupressaceae","Juniperus","ne",1
"Juniperus oxycedrus","Cupressaceae","Juniperus","ne",1
"Juniperus phoenicea","Cupressaceae","Juniperus","ne",1
"Olea europaea","Oleaceae","Olea","ne",1
"Knautia arvensis","Caprifoliaceae","Knautia","ne",1
"Oenanthe lachenalii","Apiaceae","Oenanthe","ne",1
"Dianthus chinensis","Caryophyllaceae","Dianthus","ne",1
"Trachelium caeruleum","Campanulaceae","Trachelium","ne",1
"Trachelium caeruleum","Campanulaceae","Trachelium","ne",1
"Trachelium caeruleum","Campanulaceae","Trachelium","ne",1
"Trachelium caeruleum","Campanulaceae","Trachelium","ne",1
"Gypsophila repens","Caryophyllaceae","Gypsophila","ne",1
"Gypsophila repens","Caryophyllaceae","Gypsophila","ne",1
"Petrorhagia saxifraga","Caryophyllaceae","Petrorhagia","ne",1
"Petrorhagia saxifraga","Caryophyllaceae","Petrorhagia","ne",1
"Petrorhagia saxifraga","Caryophyllaceae","Petrorhagia","ne",1
"Petrorhagia saxifraga","Caryophyllaceae","Petrorhagia","ne",1
"Petrorhagia saxifraga","Caryophyllaceae","Petrorhagia","ne",1
"Epilobium angustifolium","Onagraceae","Epilobium","ne",1
"Gypsophila repens","Caryophyllaceae","Gypsophila","ne",1
"Chaerophyllum hirsutum","Apiaceae","Chaerophyllum","ne",1
"Hieracium peletierianum","Asteraceae","Hieracium","ne",1
"Silene vulgaris","Caryophyllaceae","Silene","ne",1
"Galium lucidum","Rubiaceae","Galium","ne",1
"Achnatherum calamagrostis","Poaceae","Achnatherum","ne",1
"Bupleurum ranunculoides","Apiaceae","Bupleurum","ne",1
"Bupleurum ranunculoides","Apiaceae","Bupleurum","ne",1
"Rhipsalis cereoides","Cactaceae","Rhipsalis","ne",1
"Salix helvetica","Salicaceae","Salix","ne",1
"Senecio doronicum","Asteraceae","Senecio","ne",1
"Senecio doronicum","Asteraceae","Senecio","ne",1
"Biscutella laevigata","Brassicaceae","Biscutella","ne",1
"Arabis alpina","Brassicaceae","Arabis","ne",1
"Molinia caerulea","Poaceae","Molinia","ne",1
"Convolvulus boissieri","Convolvulaceae","Convolvulus","ne",1
"Aster alpinus","Asteraceae","Aster","ne",1
"Bupleurum ranunculoides","Apiaceae","Bupleurum","ne",1
"Bromus hordeaceus","Poaceae","Bromus","ne",1
"Draba lasiocarpa","Brassicaceae","Draba","ne",1
"Boehmeria platanifolia","Urticaceae","Boehmeria","ne",1
"Boehmeria nivea","Urticaceae","Boehmeria","ne",1
"Pelargonium endlicherianum","Geraniaceae","Pelargonium","ne",1
"Phoenicaulis cheiranthoides","Brassicaceae","Phoenicaulis","ne",1
"Pinus mugo","Pinaceae","Pinus","ne",1
"Rosa micrantha","Rosaceae","Rosa","ne",1
"Rosa micrantha","Rosaceae","Rosa","ne",1
"Achillea crithmifolia","Asteraceae","Achillea","ne",1
"Hesperis matronalis","Brassicaceae","Hesperis","ne",1
"Erodium manescavi","Geraniaceae","Erodium","ne",1
"Poa cenisia","Poaceae","Poa","ne",1
"Marrubium supinum","Lamiaceae","Marrubium","ne",1
"Globularia trichosantha","Plantaginaceae","Globularia","ne",1
"Minuartia stellata","Caryophyllaceae","Minuartia","ne",1
"Xeranthemum inapertum","Asteraceae","Xeranthemum","ne",1
"Leonurus cardiaca","Lamiaceae","Leonurus","ne",1
"Sium sisarum","Apiaceae","Sium","ne",1
"Nicotiana tabacum","Solanaceae","Nicotiana","ne",1
"Teucrium montanum","Lamiaceae","Teucrium","ne",1
"Teucrium montanum","Lamiaceae","Teucrium","ne",1
"Teucrium montanum","Lamiaceae","Teucrium","ne",1
"Pallenis spinosa","Asteraceae","Pallenis","ne",1
"Pallenis spinosa","Asteraceae","Pallenis","ne",1
"Hormathophylla longicaulis","Brassicaceae","Hormathophylla","ne",1
"Hormathophylla NA","Brassicaceae","Hormathophylla","ne",1
"Aethionema saxatile","Brassicaceae","Aethionema","ne",1
"Brachypodium NA","Ptychomitriaceae","Brachypodium","ne",1
"Gypsophila imbricata","Caryophyllaceae","Gypsophila","ne",1
"Pinus sylvestris","Pinaceae","Pinus","ne",1
"Degenia velebitica","Brassicaceae","Degenia","ne",1
"Juniperus oxycedrus","Cupressaceae","Juniperus","ne",1
"Jasminum fruticans","Oleaceae","Jasminum","ne",1
"Ananas comosus","Bromeliaceae","Ananas","ne",1
"Carica quercifolia","Caricaceae","Carica","ne",1
"Manihot esculenta","Euphorbiaceae","Manihot","ne",1
"Quercus alnifolia","Fagaceae","Quercus","ne",1
"Fagus sylvatica","Fagaceae","Fagus","ne",1
"Geranium sanguineum","Geraniaceae","Geranium","ne",1
"Arabis ciliata","Brassicaceae","Arabis","ne",1
"Arabis ciliata","Brassicaceae","Arabis","ne",1
"Cynoglossum germanicum","Boraginaceae","Cynoglossum","ne",1
"Rumex scutatus","Polygonaceae","Rumex","ne",1
"Rumex scutatus","Polygonaceae","Rumex","ne",1
"Gymnocarpium robertianum","Cystopteridaceae","Gymnocarpium","ne",1
"Erysimum ochroleucum","Brassicaceae","Erysimum","ne",1
"Arabis turrita","Brassicaceae","Arabis","ne",1
"Brachypodium pinnatum","Poaceae","Brachypodium","ne",1
"Bupleurum falcatum","Apiaceae","Bupleurum","ne",1
"Campanula rapunculoides","Campanulaceae","Campanula","ne",1
"Campanula persicifolia","Campanulaceae","Campanula","ne",1
"Chelidonium majus","Papaveraceae","Chelidonium","ne",1
"Lactuca perennis","Asteraceae","Lactuca","ne",1
"Peucedanum cervaria","Apiaceae","Peucedanum","ne",1
"Saponaria ocymoides","Caryophyllaceae","Saponaria","ne",1
"Silene nutans","Caryophyllaceae","Silene","ne",1
"Stachys recta","Lamiaceae","Stachys","ne",1
"Vicia cracca","Fabaceae","Vicia","ne",1
"Vicia cracca","Fabaceae","Vicia","ne",1
"Thlaspi montanum","Brassicaceae","Thlaspi","ne",1
"Iberis saxatilis","Brassicaceae","Iberis","ne",1
"Iberis saxatilis","Brassicaceae","Iberis","ne",1
"Mercurialis perennis","Euphorbiaceae","Mercurialis","ne",1
"Citrus australasica","Rutaceae","Citrus","ne",1
"Hedychium horsfieldii","Zingiberaceae","Hedychium","ne",1
"Hedychium horsfieldii","Zingiberaceae","Hedychium","ne",1
"Primula auricula","Primulaceae","Primula","ne",1
"Glycine max","Fabaceae","Glycine","ne",1
"Chenopodium quinoa","Amaranthaceae","Chenopodium","ne",1
"Pitcairnia maidifolia","Bromeliaceae","Pitcairnia","ne",1
"Abelmoschus manihot","Malvaceae","Abelmoschus","ne",1
"Tillandsia usneoides","Bromeliaceae","Tillandsia","ne",1
"Tillandsia usneoides","Bromeliaceae","Tillandsia","ne",1
"Eranthemum pulchellum","Acanthaceae","Eranthemum","ne",1
"Aristolochia arborea","Aristolochiaceae","Aristolochia","ne",1
"Impatiens niamniamensis","Balsaminaceae","Impatiens","ne",1
"Impatiens sodenii","Balsaminaceae","Impatiens","ne",1
"Fosterella rusbyi","Bromeliaceae","Fosterella","ne",1
"Pitcairnia flammea","Bromeliaceae","Pitcairnia","ne",1
"Ipomoea muricata","Convolvulaceae","Ipomoea","ne",1
"Tetrastigma voinierianum","Vitaceae","Tetrastigma","ne",1
"Oncidium sphacelatum","Orchidaceae","Oncidium","ne",1
"Dendrobium moschatum","Orchidaceae","Dendrobium","ne",1
"Coelogyne flaccida","Orchidaceae","Coelogyne","ne",1
